threads,image_count,task_count,successful_tasks,total_time_seconds
6,3,18,18,0.069548
6,10,50,50,0.095997
6,10,60,60,0.256752
6,10,60,60,2.566245
2,3,6,6,0.033956
2,3,6,6,0.043946
2,3,3,3,0.010954
2,3,3,3,0.015407
