threads,image,transform,input_path,output_path,status,task_time_seconds
6,img_01_1-bmp-sample-2_(1),inversion_horizontal_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)_hg.bmp,ok,0.004733
6,img_01_1-bmp-sample-2_(1),inversion_horizontal_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)_hc.bmp,ok,0.004548
6,img_01_1-bmp-sample-2_(1),desenfoque_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)_dc.bmp,ok,0.019493
6,img_02_barbara_gray,inversion_vertical_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_02_barbara_gray.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_barbara_gray_vg.bmp,ok,0.000512
6,img_02_barbara_gray,inversion_vertical_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_02_barbara_gray.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_barbara_gray_vc.bmp,ok,0.000856
6,img_02_barbara_gray,inversion_horizontal_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_02_barbara_gray.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_barbara_gray_hg.bmp,ok,0.000634
6,img_02_barbara_gray,inversion_horizontal_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_02_barbara_gray.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_barbara_gray_hc.bmp,ok,0.000805
6,img_02_barbara_gray,desenfoque_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_02_barbara_gray.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_barbara_gray_dc.bmp,ok,0.001579
6,img_03_blue-bmp-32-bit,inversion_vertical_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_03_blue-bmp-32-bit.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_blue-bmp-32-bit_vg.bmp,ok,0.000407
6,img_03_blue-bmp-32-bit,inversion_vertical_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_03_blue-bmp-32-bit.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_blue-bmp-32-bit_vc.bmp,ok,0.000450
6,img_03_blue-bmp-32-bit,inversion_horizontal_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_03_blue-bmp-32-bit.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_blue-bmp-32-bit_hg.bmp,ok,0.000427
6,img_03_blue-bmp-32-bit,inversion_horizontal_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_03_blue-bmp-32-bit.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_blue-bmp-32-bit_hc.bmp,ok,0.000419
6,img_03_blue-bmp-32-bit,desenfoque_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_03_blue-bmp-32-bit.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_blue-bmp-32-bit_dc.bmp,ok,0.001265
6,img_04_bmp_24,inversion_vertical_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_04_bmp_24.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_04_bmp_24_vg.bmp,ok,0.000155
6,img_04_bmp_24,inversion_vertical_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_04_bmp_24.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_04_bmp_24_vc.bmp,ok,0.000170
6,img_04_bmp_24,inversion_horizontal_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_04_bmp_24.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_04_bmp_24_hg.bmp,ok,0.000223
6,img_04_bmp_24,inversion_horizontal_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_04_bmp_24.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_04_bmp_24_hc.bmp,ok,0.000174
6,img_04_bmp_24,desenfoque_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_04_bmp_24.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_04_bmp_24_dc.bmp,ok,0.000290
6,img_05_convertico-coffee-bean-24-bit-bmp,inversion_vertical_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_05_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_05_convertico-coffee-bean-24-bit-bmp_vg.bmp,ok,0.002333
6,img_05_convertico-coffee-bean-24-bit-bmp,inversion_vertical_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_05_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_05_convertico-coffee-bean-24-bit-bmp_vc.bmp,ok,0.002308
6,img_05_convertico-coffee-bean-24-bit-bmp,inversion_horizontal_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_05_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_05_convertico-coffee-bean-24-bit-bmp_hg.bmp,ok,0.002079
6,img_05_convertico-coffee-bean-24-bit-bmp,inversion_horizontal_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_05_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_05_convertico-coffee-bean-24-bit-bmp_hc.bmp,ok,0.001994
6,img_05_convertico-coffee-bean-24-bit-bmp,desenfoque_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_05_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_05_convertico-coffee-bean-24-bit-bmp_dc.bmp,ok,0.006672
6,img_06_dots,inversion_vertical_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_06_dots.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_06_dots_vg.bmp,ok,0.000338
6,img_06_dots,inversion_vertical_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_06_dots.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_06_dots_vc.bmp,ok,0.000253
6,img_06_dots,inversion_horizontal_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_06_dots.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_06_dots_hg.bmp,ok,0.000255
6,img_06_dots,inversion_horizontal_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_06_dots.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_06_dots_hc.bmp,ok,0.000287
6,img_06_dots,desenfoque_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_06_dots.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_06_dots_dc.bmp,ok,0.001045
6,img_07_greenland_grid_velo,inversion_vertical_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_07_greenland_grid_velo.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_07_greenland_grid_velo_vg.bmp,ok,0.001141
6,img_07_greenland_grid_velo,inversion_vertical_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_07_greenland_grid_velo.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_07_greenland_grid_velo_vc.bmp,ok,0.001153
6,img_07_greenland_grid_velo,inversion_horizontal_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_07_greenland_grid_velo.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_07_greenland_grid_velo_hg.bmp,ok,0.001183
6,img_07_greenland_grid_velo,inversion_horizontal_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_07_greenland_grid_velo.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_07_greenland_grid_velo_hc.bmp,ok,0.001062
6,img_07_greenland_grid_velo,desenfoque_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_07_greenland_grid_velo.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_07_greenland_grid_velo_dc.bmp,ok,0.004411
6,img_08_lena,inversion_vertical_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_08_lena.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_08_lena_vg.bmp,ok,0.000341
6,img_08_lena,inversion_vertical_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_08_lena.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_08_lena_vc.bmp,ok,0.000342
6,img_08_lena,inversion_horizontal_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_08_lena.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_08_lena_hg.bmp,ok,0.000376
6,img_08_lena,inversion_horizontal_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_08_lena.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_08_lena_hc.bmp,ok,0.000351
6,img_08_lena,desenfoque_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_08_lena.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_08_lena_dc.bmp,ok,0.001266
6,img_09_sample_1280×853,inversion_vertical_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_09_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_09_sample_1280×853_vg.bmp,ok,0.001323
6,img_09_sample_1280×853,inversion_vertical_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_09_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_09_sample_1280×853_vc.bmp,ok,0.003875
6,img_09_sample_1280×853,inversion_horizontal_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_09_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_09_sample_1280×853_hg.bmp,ok,0.004929
6,img_09_sample_1280×853,inversion_horizontal_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_09_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_09_sample_1280×853_hc.bmp,ok,0.001894
6,img_09_sample_1280×853,desenfoque_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_09_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_09_sample_1280×853_dc.bmp,ok,0.005899
6,img_10_snail,inversion_vertical_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_10_snail.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_10_snail_vg.bmp,ok,0.000211
6,img_10_snail,inversion_vertical_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_10_snail.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_10_snail_vc.bmp,ok,0.000205
6,img_10_snail,inversion_horizontal_grises,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_10_snail.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_10_snail_hg.bmp,ok,0.000204
6,img_10_snail,inversion_horizontal_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_10_snail.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_10_snail_hc.bmp,ok,0.000181
6,img_10_snail,desenfoque_color,/tmp/img_analyzer_qt5_vf3g4o7g/input/img_10_snail.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_10_snail_dc.bmp,ok,0.000478
6,img_01_1-bmp-sample-2_(1),inversion_vertical_grises,/tmp/img_analyzer_qt5_jhfzoofc/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)_vg.bmp,ok,0.013476
6,img_01_1-bmp-sample-2_(1),inversion_vertical_color,/tmp/img_analyzer_qt5_jhfzoofc/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)_vc.bmp,ok,0.026130
6,img_01_1-bmp-sample-2_(1),inversion_horizontal_grises,/tmp/img_analyzer_qt5_jhfzoofc/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)_hg.bmp,ok,0.018796
6,img_01_1-bmp-sample-2_(1),inversion_horizontal_color,/tmp/img_analyzer_qt5_jhfzoofc/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)_hc.bmp,ok,0.036848
6,img_01_1-bmp-sample-2_(1),desenfoque_grises,/tmp/img_analyzer_qt5_jhfzoofc/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)_dg.bmp,ok,0.038143
6,img_01_1-bmp-sample-2_(1),desenfoque_color,/tmp/img_analyzer_qt5_jhfzoofc/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)_dc.bmp,ok,0.024284
6,img_02_barbara_gray,inversion_vertical_grises,/tmp/img_analyzer_qt5_jhfzoofc/input/img_02_barbara_gray.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_barbara_gray_vg.bmp,ok,0.000958
